Timestamp,Length in cm:,Arm span in cm:,Gender:
7/17/2019 9:51:36,168,166,
7/30/2019 12:04:37,168,168,Male
7/30/2019 12:08:37,168,168,Male
8/8/2019 11:53:42,185,176,Female
8/8/2019 11:53:59,190,193,Male
8/8/2019 11:54:09,173,174,Female
8/8/2019 11:54:27,186,179,Male
8/8/2019 11:54:39,178,171,Female
8/8/2019 11:54:57,165,156,Female
8/8/2019 11:55:15,170,165,Female
8/8/2019 11:55:36,163,165,Female
8/8/2019 11:55:43,165,164,Female
8/8/2019 11:58:08,170,170,Female
8/8/2019 11:58:20,174,175,Female
8/8/2019 11:58:36,169,169,Female
8/8/2019 11:58:49,178,165,Male
8/8/2019 11:59:03,168,161,Female
8/8/2019 11:59:15,172,174,Female
8/8/2019 11:59:32,168,167,Female
8/8/2019 11:59:46,163,162,Female
8/8/2019 11:59:58,175,180,Male
8/8/2019 12:00:12,178,185,Male
8/8/2019 12:00:21,180,182,
8/8/2019 12:00:30,172,172,Female
8/8/2019 12:00:53,180,179,
8/8/2019 12:01:02,178,170,
8/8/2019 12:01:07,175,171,
8/8/2019 12:01:19,167,164,
8/8/2019 12:01:31,165,165,
8/8/2019 12:01:39,173,166,
8/8/2019 12:01:51,172,163,
8/8/2019 12:01:59,178,174,
8/8/2019 12:02:09,166,164,
8/8/2019 12:02:16,173,164,
8/8/2019 12:02:24,167,163,
8/8/2019 12:02:32,178,176,
8/8/2019 12:02:41,176,170,
8/8/2019 12:02:50,183,170,
8/8/2019 12:02:59,187,182,
8/8/2019 12:03:06,163,161,
8/8/2019 12:03:14,171,171,
8/8/2019 12:03:26,178,177,
8/8/2019 12:03:32,180,180,
8/8/2019 12:03:43,163,155,
8/8/2019 12:03:50,176,170,
8/8/2019 12:03:58,176,168,
8/8/2019 12:04:11,170,169,
8/8/2019 12:04:20,172,177,
8/8/2019 12:04:27,168,164,
8/8/2019 12:04:37,179,164,
8/8/2019 12:04:46,173,164,
8/8/2019 12:04:55,190,181,
8/8/2019 12:05:02,174,174,
8/8/2019 12:05:10,169,168,
8/8/2019 12:05:19,170,158,
8/8/2019 12:05:29,185,180,
8/8/2019 12:05:36,170,168,
8/8/2019 12:05:43,180,172,
8/8/2019 12:05:52,170,170,
8/8/2019 12:05:59,173,180,
8/8/2019 12:06:06,176,182,
8/8/2019 12:06:14,169,172,
8/8/2019 12:06:22,160,157,
8/8/2019 12:06:30,176,167,
8/8/2019 12:06:36,153,150,
8/8/2019 12:06:47,176,179,
8/8/2019 12:06:56,154,156,
8/8/2019 12:07:05,175,170,
8/8/2019 12:07:12,177,172,
8/8/2019 12:07:19,187,177,
8/8/2019 12:07:29,167,165,
8/8/2019 12:07:36,181,171,
8/8/2019 12:07:43,170,165,
8/8/2019 12:07:52,190,191,
8/8/2019 12:07:59,188,184,
8/8/2019 12:08:07,168,169,
8/8/2019 12:08:17,180,190,
8/8/2019 12:08:28,157,152,
8/8/2019 12:08:34,178,172,
8/8/2019 12:08:40,160,160,
8/8/2019 12:08:47,172,172,
8/8/2019 12:08:53,166,160,
8/8/2019 12:09:02,182,181,
8/8/2019 12:09:10,191,189,
8/8/2019 12:09:23,184,189,
8/8/2019 12:09:35,178,172,
8/8/2019 12:09:42,180,171,
8/8/2019 12:09:49,166,166,
8/8/2019 12:09:58,166,167,
8/8/2019 12:10:04,163,163,
8/8/2019 12:10:15,169,168,
8/8/2019 12:10:22,170,178,
8/8/2019 12:10:34,173,172,
8/8/2019 12:10:40,168,166,
8/8/2019 12:10:46,165,165,
8/8/2019 12:10:54,174,174,
8/8/2019 12:11:03,167,163,
8/8/2019 12:11:12,188,184,
8/8/2019 12:11:22,182,175,
8/8/2019 12:11:29,168,167,
9/3/2019 8:49:05,177,180,Male
9/3/2019 8:49:14,174,167,Male
9/3/2019 8:50:02,184,178,Male
9/3/2019 8:50:09,179,174,Male
9/3/2019 8:50:13,179,180,Male
9/3/2019 8:50:35,191,191,Male
9/3/2019 8:50:41,164,166,Female
9/3/2019 8:50:51,180,183,Male
9/3/2019 8:51:16,179,180,Male
9/3/2019 8:51:20,167,170,Female
9/3/2019 8:51:21,175,176,Male
9/3/2019 8:51:22,186,193,Male
9/3/2019 8:51:29,175,160,Male
9/3/2019 8:51:36,185,175,Male
9/3/2019 8:51:41,159,159,Male
9/3/2019 8:51:45,185,186,Male
9/3/2019 8:51:51,189,190,Male
9/3/2019 8:52:03,193,189,Male
9/3/2019 8:52:05,194,190,Male
9/3/2019 8:52:29,189,184,Male
9/3/2019 8:52:40,185,184,Male
9/3/2019 8:52:53,184,182,Male
9/3/2019 8:53:27,175,174,Male
9/3/2019 8:53:37,181,187,Male
9/3/2019 8:53:49,191,190,Male
9/3/2019 8:53:56,181,178.1,Male
9/3/2019 8:54:46,185.5,189,Male
9/3/2019 8:55:01,199,190.5,Male
9/3/2019 8:55:04,184,179,Male
9/3/2019 8:55:06,184,185,Male
9/3/2019 14:39:43,185,182,Male
9/3/2019 14:40:16,174,171,Male
9/3/2019 14:40:30,182,182,Male
9/3/2019 14:40:48,182,180,Male
9/3/2019 14:40:49,185,181,Male
9/3/2019 14:40:49,174,176,Male
9/3/2019 14:41:07,176,185,Male
9/3/2019 14:41:10,185,180,Male
9/3/2019 14:41:20,191,193,Male
9/3/2019 14:41:25,177,176,Male
9/3/2019 14:41:36,191,193,Male
9/3/2019 14:41:37,183,185,Male
9/3/2019 14:41:37,163,161,Female
9/3/2019 14:41:48,190,196,Male
9/3/2019 14:42:09,185,186.5,Male
9/3/2019 14:42:10,188,188,Male
9/3/2019 14:42:10,192,189,Male
9/3/2019 14:42:17,186,192,Male
9/3/2019 14:42:17,163,172,Female
9/3/2019 14:42:20,179,176,
9/3/2019 14:42:21,188,174,Male
9/3/2019 14:42:22,183,187,Male
9/3/2019 14:42:28,190,182,Male
9/3/2019 14:42:30,178,179,Female
9/3/2019 14:42:30,183,181,Male
9/3/2019 14:42:32,182,186,Male
9/3/2019 14:42:36,188,185,Male
9/3/2019 14:42:38,182.5,185,Male
9/3/2019 14:42:42,194,182,Male
9/3/2019 14:42:45,191,188,Male
9/3/2019 14:42:46,182,184,Male
9/3/2019 14:42:52,185,189,Male
9/3/2019 14:42:53,188,178,Male
9/3/2019 14:42:54,184,185,Male
9/3/2019 14:42:54,171,173,Male
9/3/2019 14:43:03,198,202,Male
9/3/2019 14:43:12,201,201,Male
9/3/2019 14:43:15,186,195,Male
9/3/2019 14:43:20,179,179,Male
9/3/2019 14:43:21,181,182,Male
9/3/2019 14:43:26,175,171,Male
9/3/2019 14:43:32,184,178,Male
9/3/2019 14:43:35,184,182,Male
9/3/2019 14:43:37,186,190,Male
9/3/2019 14:43:40,182,187,Male
9/3/2019 14:43:47,191,193,Male
9/3/2019 14:43:54,193,208,Male
9/3/2019 14:44:00,179,175,Male
9/3/2019 14:44:06,164,158,Female
9/3/2019 14:44:12,172,174,Male
9/3/2019 14:44:18,181.5,180,Male
9/3/2019 14:44:19,187,181,Male
9/3/2019 14:44:33,184,183,Male
9/3/2019 14:44:44,174,175,Male
9/3/2019 14:44:44,180,179,Female
9/3/2019 14:44:47,172,168,Female
9/3/2019 14:45:06,175,173,Female
9/3/2019 14:45:10,186,204,Male
9/3/2019 14:45:19,181,180,Male
9/3/2019 14:45:19,187,176,Male
9/3/2019 14:45:31,182,184,Male
9/3/2019 14:45:32,186,188,Male
9/3/2019 14:45:36,175,173,Male
9/3/2019 14:45:37,175,176,Male
9/3/2019 14:45:41,192,183,Male
9/3/2019 14:45:44,176,180,Female
9/3/2019 14:45:46,187,182,Male
9/3/2019 14:46:03,176,172,Female
9/3/2019 14:46:19,183,177,Male
9/3/2019 14:46:25,179,180,Male
9/3/2019 14:46:35,181,178,Male
9/3/2019 14:46:50,194,191,Male
9/3/2019 14:46:53,190,194,Male
9/3/2019 14:47:20,165,164,Female
9/3/2019 14:47:35,174,177,Male
9/3/2019 14:47:39,186,186,Male
9/3/2019 14:54:19,194,198,Male
9/3/2019 20:15:50,163,161,Female
9/4/2019 9:38:52,190,193,Male
9/4/2019 9:39:17,169,174,Female
9/4/2019 9:39:25,178,173,Female
9/4/2019 9:39:33,179,175,Male
9/4/2019 9:39:38,192,192,Male
9/4/2019 9:39:42,186,190,Male
9/4/2019 9:39:43,188,194,Male
9/4/2019 9:39:54,178,179,Male
9/4/2019 9:40:08,174,171,Male
9/4/2019 9:40:19,188,190,Male
9/4/2019 9:40:19,181,181,Male
9/4/2019 9:40:38,192,195,Male
9/4/2019 9:40:45,174,174,Male
9/4/2019 9:40:47,188,185,Male
9/4/2019 9:40:52,181,181,Male
9/4/2019 9:40:54,184,177,Male
9/4/2019 9:41:02,189,186,Male
9/4/2019 9:41:04,187,191,Male
9/4/2019 9:41:04,181,183,Male
9/4/2019 9:41:13,189,192,Male
9/4/2019 9:41:15,190,200,Male
9/4/2019 9:41:19,178,178,Male
9/4/2019 9:41:25,184,188,Male
9/4/2019 9:41:25,170,165,Female
9/4/2019 9:41:32,158,158,Female
9/4/2019 9:41:32,178,178,Male
9/4/2019 9:41:51,180,182,Male
9/4/2019 9:41:58,165,170,Female
9/4/2019 9:41:58,180,181,Female
9/4/2019 9:41:59,188,194.5,Male
9/4/2019 9:42:01,190,194,Male
9/4/2019 9:42:07,191,188,Male
9/4/2019 9:42:12,178,179,Male
9/4/2019 9:42:13,178,178,Male
9/4/2019 9:42:14,192,185,Male
9/4/2019 9:42:23,173,165,Female
9/4/2019 9:42:27,183,177,Male
9/4/2019 9:42:35,182,181,Male
9/4/2019 9:42:45,174,178,Male
9/4/2019 9:42:46,190,199,Male
9/4/2019 9:42:46,186,187,Male
9/4/2019 9:42:47,175,182,Male
9/4/2019 9:43:06,182.5,181.5,Male
9/4/2019 9:43:07,181,186,Male
9/4/2019 9:43:08,192,183,Male
9/4/2019 9:43:09,188,187.5,Male
9/4/2019 9:43:09,173,172,Female
9/4/2019 9:43:14,181,183,Male
9/4/2019 9:43:17,189,190,Male
9/4/2019 9:43:17,183,180,Male
9/4/2019 9:43:20,184,187,Male
9/4/2019 9:43:22,188,194,Male
9/4/2019 9:43:28,180,184,Male
9/4/2019 9:43:36,177,178,Female
9/4/2019 9:43:36,168.5,168.6,Female
9/4/2019 9:43:47,183,189,Male
9/4/2019 9:44:04,169,170,Female
9/4/2019 9:44:08,198,198,Male
9/4/2019 9:44:14,175,170,Female
9/4/2019 9:44:34,179,178,Male
9/4/2019 9:44:44,185,178,Male
9/4/2019 9:44:45,185,192,Male
9/4/2019 9:44:45,188,186,Male
9/4/2019 9:44:45,168.8,168.7,Female
9/4/2019 9:44:46,193,191,Male
9/4/2019 9:44:50,182,178.5,Male
9/4/2019 9:45:09,176,178,
9/4/2019 9:45:15,184,188,Male
9/4/2019 9:45:18,174,180,Male
9/4/2019 9:45:22,189,190,Male
9/4/2019 9:45:37,179,186,Male
9/4/2019 9:45:41,185,184,Male
9/4/2019 9:45:43,192,184,Male
9/4/2019 9:45:47,179,186,Male
9/4/2019 9:45:51,180,184,Male
9/4/2019 9:45:58,207,211,Male
9/4/2019 9:46:02,192,187,Male
9/4/2019 9:46:14,166,160,Female
9/4/2019 9:46:32,168,166,Female
9/4/2019 9:46:49,169,171,Female
9/4/2019 9:47:12,163,160,Female
9/4/2019 9:47:13,171,161,Female
9/4/2019 14:34:11,187,184,Male
9/4/2019 14:35:54,188,198,Male
9/4/2019 14:36:19,181,184,Male
9/4/2019 14:36:25,178,178,Male
9/4/2019 14:36:26,175,164.5,Female
9/4/2019 14:36:32,180,181,Male
9/4/2019 14:36:45,175,174,Male
9/4/2019 14:36:51,170,164,Female
9/4/2019 14:37:01,177,178,Female
9/4/2019 14:37:02,172,173,Male
9/4/2019 14:37:04,171,173,Male
9/4/2019 14:37:10,164,155.5,Female
9/4/2019 14:37:11,191,191,Male
9/4/2019 14:37:12,170,172,Male
9/4/2019 14:37:16,189.5,190,Male
9/4/2019 14:37:29,176,176,Male
9/4/2019 14:37:30,171,173,Male
9/4/2019 14:37:48,180,183,Male
9/4/2019 14:37:53,193,186,Male
9/4/2019 14:37:58,164,159,Female
9/4/2019 14:38:01,186.2,192,Male
9/4/2019 14:38:16,175,175,Male
9/4/2019 14:38:17,173,172,Male
9/4/2019 14:38:20,187,186,Male
9/4/2019 14:38:23,168,167.5,Female
9/4/2019 14:38:24,191,191,Male
9/4/2019 14:38:25,171,172,Male
9/4/2019 14:38:26,177,173,Male
9/4/2019 14:38:37,170,166,Female
9/4/2019 14:38:38,185,180,Male
9/4/2019 14:38:44,167,164,Female
9/4/2019 14:38:52,191,193,Male
9/4/2019 14:38:59,176,181,Male
9/4/2019 14:39:07,194,196,Male
9/4/2019 14:39:13,194,190,Male
9/4/2019 14:39:17,193,190,Male
9/4/2019 14:39:32,200,187,Male
9/4/2019 14:39:27,172,173,Male
9/4/2019 14:39:37,197,193,Male
9/4/2019 14:39:41,190,188,Male
9/4/2019 14:39:42,186,183,Male
9/4/2019 14:39:43,174,169,Male
9/4/2019 14:39:44,183,180,Male
9/4/2019 14:39:46,184,184,Male
9/4/2019 14:39:52,189,181,Male
9/4/2019 14:40:04,195.5,194.5,Male
9/4/2019 14:40:09,190,180,Male
9/4/2019 14:40:12,187,179,Male
9/4/2019 14:40:35,183,180,Male
9/4/2019 14:40:40,187,180,Male
9/4/2019 14:40:42,184,184,Male
9/4/2019 14:40:43,167,171,Female
9/4/2019 14:40:43,200,202,Male
9/4/2019 14:40:44,189,194,Male
9/4/2019 14:40:48,165,165,Male
9/4/2019 14:40:50,186,189,Male
9/4/2019 14:41:07,183,185,Male
9/4/2019 14:41:08,179,178,Male
9/4/2019 14:41:13,173,188,Male
9/4/2019 14:41:20,172.5,172.5,Male
9/4/2019 14:41:24,179,181,Male
9/4/2019 14:41:31,172.5,172.5,Male
9/4/2019 14:41:34,182,191,Male
9/4/2019 14:41:34,187,181,Male
9/4/2019 14:41:36,170,163,Female
9/4/2019 14:41:37,199,185,Male
9/4/2019 14:41:42,173,169,Female
9/4/2019 14:41:43,176,182,Male
9/4/2019 14:41:59,175,176,Male
9/4/2019 14:42:02,183,179,Male
9/4/2019 14:42:02,183,180,Male
9/4/2019 14:42:09,172,177,Male
9/4/2019 14:42:16,171,176,Male
9/4/2019 14:42:37,200,199,Male
9/4/2019 14:42:48,198,198,Male
9/4/2019 14:43:07,179,174,Male
9/4/2019 14:44:53,180,186,Male
9/4/2019 14:46:47,175,172,Female
9/4/2019 14:47:17,186,181,Male
9/4/2019 14:47:29,186,184,Male
9/4/2019 14:49:00,165,166,Female
9/4/2019 14:49:24,165,160,Female
9/4/2019 14:50:36,174,175,Female
9/5/2019 12:37:54,184.5,184,Male
9/5/2019 12:38:18,180,187,Male
9/5/2019 12:38:25,176,176,Female
9/5/2019 12:38:30,186,190,Male
9/5/2019 12:38:39,178,182,Male
9/5/2019 12:38:54,181,175,Female
9/5/2019 12:39:02,185,180,Male
9/5/2019 12:39:06,188,183,Male
9/5/2019 12:39:08,194,191,Male
9/5/2019 12:39:15,173,167,Male
9/5/2019 12:39:18,188,183,Male
9/5/2019 12:39:18,187,185,Male
9/5/2019 12:39:41,168,152,Male
9/5/2019 12:39:57,174,170,Male
9/5/2019 12:39:57,178,178,Male
9/5/2019 12:39:58,179,178,Male
9/5/2019 12:40:03,167,161,Female
9/5/2019 12:40:06,179,178,Male
9/5/2019 12:40:10,170,172,Female
9/5/2019 12:40:12,186,184,Male
9/5/2019 12:40:28,189.6,186.7,Male
9/5/2019 12:40:29,181,184,Male
9/5/2019 12:40:43,172,172.5,Female
9/5/2019 12:40:44,180,177,Male
9/5/2019 12:40:49,188,182,Male
9/5/2019 12:40:52,188.5,188.5,Male
9/5/2019 12:40:54,185,185,Male
9/5/2019 12:41:03,174,179,Male
9/5/2019 12:41:07,188,184,Male
9/5/2019 12:41:22,184,182,Male
9/5/2019 12:41:59,177,171,Male
9/5/2019 17:44:42,184,182,Male
1/24/2020 13:39:48,182,183,Male
1/24/2020 13:40:02,191,196,Male
1/24/2020 13:41:08,172,171,Male
1/24/2020 13:41:24,161,167,Female
1/24/2020 13:41:43,188,198,Male
1/24/2020 13:41:47,196,198,Male
1/24/2020 13:42:46,182,180,Female
1/24/2020 13:43:06,166.5,165.2,Female
1/24/2020 13:43:10,165,169,Female
1/24/2020 13:43:26,165,174,Male
